source_motif_id,perturbation_id,attractor_rep_id,attractor_class,period,cycle_found
sd_single_2,left_hit_e1,su_single_3,known,4,True
sd_single_2,left_hit_e2,novel::c85f462d2564,novel,4,True
sd_single_2,left_hit_e3,su_single_1,known,4,True
sd_single_2,left_hit_e4,su_single_1,known,4,True
sd_single_2,left_hit_e5,novel::c85f462d2564,novel,4,True
sd_single_2,left_hit_e6,su_single_3,known,4,True
sd_single_2,left_hit_e7,sd_single_2,known,4,True
sd_single_2,right_hit_e1,su_single_3,known,4,True
sd_single_2,right_hit_e2,novel::35178d1a4809,novel,4,True
sd_single_2,right_hit_e3,su_single_1,known,4,True
sd_single_2,right_hit_e4,su_single_1,known,4,True
sd_single_2,right_hit_e5,novel::35178d1a4809,novel,4,True
sd_single_2,right_hit_e6,su_single_3,known,4,True
sd_single_2,right_hit_e7,sd_single_2,known,4,True
sd_single_3,left_hit_e1,su_single_2,known,4,True
sd_single_3,left_hit_e2,su_single_1,known,4,True
sd_single_3,left_hit_e3,novel::c85f462d2564,novel,4,True
sd_single_3,left_hit_e4,novel::c85f462d2564,novel,4,True
sd_single_3,left_hit_e5,su_single_1,known,4,True
sd_single_3,left_hit_e6,su_single_2,known,4,True
sd_single_3,left_hit_e7,sd_single_3,known,4,True
sd_single_3,right_hit_e1,su_single_2,known,4,True
sd_single_3,right_hit_e2,su_single_1,known,4,True
sd_single_3,right_hit_e3,novel::35178d1a4809,novel,4,True
sd_single_3,right_hit_e4,novel::35178d1a4809,novel,4,True
sd_single_3,right_hit_e5,su_single_1,known,4,True
sd_single_3,right_hit_e6,su_single_2,known,4,True
sd_single_3,right_hit_e7,sd_single_3,known,4,True
sd_triple_dual_electron,left_hit_e1,novel::4a811db90e36,novel,4,True
sd_triple_dual_electron,left_hit_e2,novel::48c85c2b9f55,novel,4,True
sd_triple_dual_electron,left_hit_e3,novel::56501b585dd8,novel,4,True
sd_triple_dual_electron,left_hit_e4,novel::56501b585dd8,novel,4,True
sd_triple_dual_electron,left_hit_e5,novel::48c85c2b9f55,novel,4,True
sd_triple_dual_electron,left_hit_e6,novel::4a811db90e36,novel,4,True
sd_triple_dual_electron,left_hit_e7,right_spinor_electron_ideal,known,4,True
sd_triple_dual_electron,right_hit_e1,novel::04f57cdb232f,novel,4,True
sd_triple_dual_electron,right_hit_e2,novel::c851216139a7,novel,4,True
sd_triple_dual_electron,right_hit_e3,novel::780a5427ef4d,novel,4,True
sd_triple_dual_electron,right_hit_e4,novel::780a5427ef4d,novel,4,True
sd_triple_dual_electron,right_hit_e5,novel::c851216139a7,novel,4,True
sd_triple_dual_electron,right_hit_e6,novel::04f57cdb232f,novel,4,True
sd_triple_dual_electron,right_hit_e7,right_spinor_electron_ideal,known,4,True
sd_vacuum_omega_dag,left_hit_e1,novel::7aca3a56a41d,novel,4,True
sd_vacuum_omega_dag,left_hit_e2,novel::3205571d9958,novel,4,True
sd_vacuum_omega_dag,left_hit_e3,novel::4acc1f2e8c41,novel,4,True
sd_vacuum_omega_dag,left_hit_e4,novel::4acc1f2e8c41,novel,4,True
