case_id,left_motif_id,right_motif_id,simulation_replay_hash,depth,node_count,e7_projection_load,e0_scalar_load,e7_projection_avg,e0_scalar_avg,baseline_e7_projection_load,projected_ablation_vs_baseline
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,3,12,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,4,14,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,5,16,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,6,18,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,7,20,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,8,22,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,9,24,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,10,26,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,11,28,0,0,0.0,0.0,0,0
tau_electron,left_spinor_tau_motif,furey_electron_doubled,5b6758418c27117fbd6a5bd10a443b8f7e54e639669534341a6e8c0c9b28188f,12,30,0,0,0.0,0.0,0,0
