case_id,edge_distance,steps,phase_offset,preconditioning_ticks,overlap_start_tick,stage,stage_tick,global_tick,overlap_started,overlap_node_count,phase_jump_sum,photon_coupling_rate
alpha_case_05,6,16,1,0,3,measure,1,1,False,0,0,0.0
alpha_case_05,6,16,1,0,3,measure,2,2,False,0,0,0.0
alpha_case_05,6,16,1,0,3,measure,3,3,True,1,0,0.0
alpha_case_05,6,16,1,0,3,measure,4,4,True,3,0,0.0
alpha_case_05,6,16,1,0,3,measure,5,5,True,5,4,0.1
alpha_case_05,6,16,1,0,3,measure,6,6,True,7,4,0.07142857142857142
alpha_case_05,6,16,1,0,3,measure,7,7,True,9,12,0.16666666666666666
alpha_case_05,6,16,1,0,3,measure,8,8,True,11,12,0.13636363636363635
alpha_case_05,6,16,1,0,3,measure,9,9,True,13,0,0.0
alpha_case_05,6,16,1,0,3,measure,10,10,True,15,0,0.0
alpha_case_05,6,16,1,0,3,measure,11,11,True,17,4,0.029411764705882353
alpha_case_05,6,16,1,0,3,measure,12,12,True,19,8,0.05263157894736842
alpha_case_05,6,16,1,0,3,measure,13,13,True,21,8,0.047619047619047616
alpha_case_05,6,16,1,0,3,measure,14,14,True,23,16,0.08695652173913043
alpha_case_05,6,16,1,0,3,measure,15,15,True,25,44,0.22
alpha_case_05,6,16,1,0,3,measure,16,16,True,27,48,0.2222222222222222
