case_id,edge_distance,steps,phase_offset,preconditioning_ticks,overlap_start_tick,stage,stage_tick,global_tick,overlap_started,overlap_node_count,phase_jump_sum,photon_coupling_rate
alpha_case_09,8,18,1,0,4,measure,1,1,False,0,0,0.0
alpha_case_09,8,18,1,0,4,measure,2,2,False,0,0,0.0
alpha_case_09,8,18,1,0,4,measure,3,3,False,0,0,0.0
alpha_case_09,8,18,1,0,4,measure,4,4,True,1,0,0.0
alpha_case_09,8,18,1,0,4,measure,5,5,True,3,4,0.16666666666666666
alpha_case_09,8,18,1,0,4,measure,6,6,True,5,8,0.2
alpha_case_09,8,18,1,0,4,measure,7,7,True,7,12,0.21428571428571427
alpha_case_09,8,18,1,0,4,measure,8,8,True,9,8,0.1111111111111111
alpha_case_09,8,18,1,0,4,measure,9,9,True,11,0,0.0
alpha_case_09,8,18,1,0,4,measure,10,10,True,13,0,0.0
alpha_case_09,8,18,1,0,4,measure,11,11,True,15,0,0.0
alpha_case_09,8,18,1,0,4,measure,12,12,True,17,12,0.08823529411764706
alpha_case_09,8,18,1,0,4,measure,13,13,True,19,24,0.15789473684210525
alpha_case_09,8,18,1,0,4,measure,14,14,True,21,24,0.14285714285714285
alpha_case_09,8,18,1,0,4,measure,15,15,True,23,40,0.21739130434782608
alpha_case_09,8,18,1,0,4,measure,16,16,True,25,40,0.2
alpha_case_09,8,18,1,0,4,measure,17,17,True,27,12,0.05555555555555555
alpha_case_09,8,18,1,0,4,measure,18,18,True,29,16,0.06896551724137931
