q_id,family_tag,assoc_activity
188,B112_line_plus_e000_halfsum,0.8925
189,B112_line_plus_e000_halfsum,0.8925
190,B112_line_plus_e000_halfsum,0.8925
191,B112_line_plus_e000_halfsum,0.8925
192,B112_line_plus_e000_halfsum,0.8925
193,B112_line_plus_e000_halfsum,0.8925
194,B112_line_plus_e000_halfsum,0.8925
195,B112_line_plus_e000_halfsum,0.8925
196,B112_line_plus_e000_halfsum,0.8925
197,B112_line_plus_e000_halfsum,0.8925
198,B112_line_plus_e000_halfsum,0.8925
199,B112_line_plus_e000_halfsum,0.8925
200,B112_line_plus_e000_halfsum,0.8925
201,B112_line_plus_e000_halfsum,0.8925
202,B112_line_plus_e000_halfsum,0.8925
203,B112_line_plus_e000_halfsum,0.8925
204,B112_line_plus_e000_halfsum,0.8925
205,B112_line_plus_e000_halfsum,0.8925
206,B112_line_plus_e000_halfsum,0.8925
207,B112_line_plus_e000_halfsum,0.8925
208,B112_line_plus_e000_halfsum,0.8925
209,B112_line_plus_e000_halfsum,0.8925
210,B112_line_plus_e000_halfsum,0.8925
211,B112_line_plus_e000_halfsum,0.8925
212,B112_line_plus_e000_halfsum,0.8925
213,B112_line_plus_e000_halfsum,0.8925
214,B112_line_plus_e000_halfsum,0.8925
215,B112_line_plus_e000_halfsum,0.8925
216,B112_line_plus_e000_halfsum,0.8925
217,B112_line_plus_e000_halfsum,0.8925
218,B112_line_plus_e000_halfsum,0.8925
219,B112_line_plus_e000_halfsum,0.8925
220,B112_line_plus_e000_halfsum,0.8925
221,B112_line_plus_e000_halfsum,0.8925
222,B112_line_plus_e000_halfsum,0.8925
223,B112_line_plus_e000_halfsum,0.8925
224,B112_line_plus_e000_halfsum,0.8925
225,B112_line_plus_e000_halfsum,0.8925
226,B112_line_plus_e000_halfsum,0.8925
227,B112_line_plus_e000_halfsum,0.8925
228,B112_line_plus_e000_halfsum,0.8925
229,B112_line_plus_e000_halfsum,0.8925
230,B112_line_plus_e000_halfsum,0.8925
231,B112_line_plus_e000_halfsum,0.8925
232,B112_line_plus_e000_halfsum,0.8925
233,B112_line_plus_e000_halfsum,0.8925
234,B112_line_plus_e000_halfsum,0.8925
235,B112_line_plus_e000_halfsum,0.8925
236,B112_line_plus_e000_halfsum,0.8925
237,B112_line_plus_e000_halfsum,0.8925
238,B112_line_plus_e000_halfsum,0.8925
239,A16_basis_signed_unit,0.0
