strategy,run_idx,candidate_lock_flag,propagating_flag,period,clock_signature_drift,phase_signature_std_mean,centroid_displacement,nonvac_final
random4,0,False,False,,0.6698991380076423,0.04612721049384178,0.24550946369847643,3741
random4,1,False,False,,0.6117535323913623,0.04254637083141791,0.2523297490287217,3733
random4,2,False,False,,0.8152770372345154,0.050444341718078684,0.24444080041028857,3620
random4,3,False,False,,0.7739602772593975,0.049019685359392745,0.2550822736636476,3739
random4,4,False,False,,0.4962898782546876,0.03610187941733148,0.25300224232986185,3736
random4,5,False,False,,0.6519094908024528,0.04285077854752719,0.24977226608779388,3740
random4,6,False,False,,0.6751477383808763,0.04640820155172445,0.2526970552049194,3737
random4,7,False,False,,0.6358359992890784,0.04121276873942047,0.2493530191041393,3740
random4,8,False,False,,0.6743257353594597,0.04439510162503799,0.2553996092879038,3736
random4,9,False,False,,0.7728716786634675,0.04888548267126888,0.24905695351793844,3738
random4,10,False,False,,0.8337943215142628,0.05203366116283254,0.25355061128750445,3737
random4,11,False,False,,0.8153325779792056,0.050081479541372854,0.2522184615851936,3736
random4,12,False,False,,0.6424842264285079,0.04191071023914314,0.250611081159755,3733
random4,13,False,False,,0.4860592730827335,0.03528860545705652,0.2500586301720786,3735
random4,14,False,False,,0.7394194881364969,0.04865760601361341,0.24984924963859345,3740
random4,15,False,False,,0.577273838087621,0.042389886391273245,0.25282318231824774,3733
random4,16,False,False,,0.7476728427974763,0.04811798859279173,0.25185758481399434,3735
random4,17,False,False,,0.7705889540566959,0.049477833307870284,0.25001433627526826,3735
random4,18,False,False,,0.755659601883942,0.04921845426033208,0.2489164738895854,3739
random4,19,False,False,,0.6032502443792767,0.04175348113696959,0.24899993477612767,3741
random4,20,False,False,,0.7868346218786101,0.051635860499776975,0.25070548437028317,3733
random4,21,False,False,,0.6951201901715098,0.042892616490950046,0.2534539340552001,3741
random4,22,False,False,,0.8381542699724518,0.051752053125265075,0.2503950117092841,3732
random4,23,False,False,,0.740513640806896,0.04794717324826133,0.24977144914477814,3738
random4,24,False,False,,0.7645350128854528,0.05098052380191492,0.2517469341029218,3732
random4,25,False,False,,0.8320503421309873,0.05085441740184768,0.24880456505456255,3732
random4,26,False,False,,0.7588809650759797,0.048756468436794216,0.2484349123920919,3744
random4,27,False,False,,0.7661290322580645,0.05105507172760488,0.2476339161304409,3738
random4,28,False,False,,0.7795810006220562,0.0512846121593838,0.24555967522257993,3739
