variant_id,candidate_action_size,domain,order6_set_size,effective_action_size,dropped_action_count_embedding_mismatch,closure_ok,faithful_ok,orbit_partition,stabilizer_histogram
unoriented_signfree,168,q240,56,24,144,True,False,"[3, 3, 3, 3, 4, 4, 6, 6, 12, 12]","{""2"": 24, ""4"": 12, ""6"": 8, ""8"": 12}"
unoriented_signfree,168,s960,168,24,144,True,False,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 12, 12, 12, 12, 12, 12]","{""2"": 72, ""4"": 36, ""6"": 24, ""8"": 36}"
oriented_signpreserving,21,q240,56,3,18,True,False,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{""1"": 54, ""3"": 2}"
oriented_signpreserving,21,s960,168,3,18,True,False,"[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{""1"": 162, ""3"": 6}"
