class_id,count,score_photon_like_mean,score_neutrino_like_mean,score_electron_like_mean,score_quark_core_like_mean,score_mediator_w_like_mean,score_unstable_crossmix_like_mean,top_role_1,top_role_1_score,top_role_2,top_role_2_score,top_role_3,top_role_3_score
SC0001,72,0.021875,0.03515625,0.4119791666666667,0.6156250000000001,0.26458333333333334,0.7108284135726686,unstable_crossmix_like,0.7108284135726686,quark_core_like,0.6156250000000001,electron_like,0.4119791666666667
SC0002,72,0.021875,0.03515625,0.3494791666666667,0.6156250000000001,0.3270833333333334,0.7733284135726686,unstable_crossmix_like,0.7733284135726686,quark_core_like,0.6156250000000001,electron_like,0.3494791666666667
SC0003,72,0.021875,0.03515625,0.3994791666666667,0.6156250000000001,0.27708333333333335,0.7233284135726685,unstable_crossmix_like,0.7233284135726685,quark_core_like,0.6156250000000001,electron_like,0.3994791666666667
SC0004,72,0.021875,0.03515625,0.3494791666666667,0.6156250000000001,0.3270833333333334,0.7733284135726686,unstable_crossmix_like,0.7733284135726686,quark_core_like,0.6156250000000001,electron_like,0.3494791666666667
SC0005,72,0.021875,0.03515625,0.25572916666666673,0.6156250000000001,0.6708333333333334,0.7170784135726685,unstable_crossmix_like,0.7170784135726685,mediator_w_like,0.6708333333333334,quark_core_like,0.6156250000000001
SC0006,72,0.221875,0.23515625000000004,0.1932291666666667,0.6156250000000001,0.9333333333333333,0.7795784135726685,mediator_w_like,0.9333333333333333,unstable_crossmix_like,0.7795784135726685,quark_core_like,0.6156250000000001
SC0007,72,0.221875,0.23515625000000004,0.24322916666666672,0.6156250000000001,0.8833333333333335,0.7295784135726686,mediator_w_like,0.8833333333333335,unstable_crossmix_like,0.7295784135726686,quark_core_like,0.6156250000000001
SC0008,72,0.221875,0.23515625000000004,0.1932291666666667,0.6156250000000001,0.9333333333333333,0.7795784135726685,mediator_w_like,0.9333333333333333,unstable_crossmix_like,0.7795784135726685,quark_core_like,0.6156250000000001
SC0009,72,0.021875,0.03515625,0.22135416666666669,0.6156250000000001,0.7052083333333334,0.7514534135726686,unstable_crossmix_like,0.7514534135726686,mediator_w_like,0.7052083333333334,quark_core_like,0.6156250000000001
SC0010,72,0.221875,0.23515625000000004,0.15885416666666669,0.6156250000000001,0.9677083333333335,0.8139534135726686,mediator_w_like,0.9677083333333335,unstable_crossmix_like,0.8139534135726686,quark_core_like,0.6156250000000001
SC0011,72,0.221875,0.23515625000000004,0.20885416666666667,0.6156250000000001,0.9177083333333333,0.7639534135726685,mediator_w_like,0.9177083333333333,unstable_crossmix_like,0.7639534135726685,quark_core_like,0.6156250000000001
SC0012,72,0.221875,0.23515625000000004,0.15885416666666669,0.6156250000000001,0.9677083333333335,0.8139534135726686,mediator_w_like,0.9677083333333335,unstable_crossmix_like,0.8139534135726686,quark_core_like,0.6156250000000001
SC0013,32,0.05625,0.08984375,0.6348958333333333,0.7375,0.23229166666666667,0.651974246906002,quark_core_like,0.7375,unstable_crossmix_like,0.651974246906002,electron_like,0.6348958333333333
SC0014,32,0.25625,0.28984375,0.4765625,0.7375,0.8406250000000001,0.6603075802393353,mediator_w_like,0.8406250000000001,quark_core_like,0.7375,unstable_crossmix_like,0.6603075802393353
SC0015,32,0.25625,0.28984375,0.4479166666666667,0.7375,0.8692708333333334,0.6889534135726687,mediator_w_like,0.8692708333333334,quark_core_like,0.7375,unstable_crossmix_like,0.6889534135726687
SC0016,32,0.05625,0.08984375,0.5734374999999999,0.7375,0.29375,0.7134325802393353,quark_core_like,0.7375,unstable_crossmix_like,0.7134325802393353,electron_like,0.5734374999999999
SC0017,32,0.05625,0.08984375,0.5734374999999999,0.7375,0.29375,0.7134325802393353,quark_core_like,0.7375,unstable_crossmix_like,0.7134325802393353,electron_like,0.5734374999999999
SC0018,32,0.25625,0.28984375,0.41510416666666666,0.7375,0.9020833333333333,0.7217659135726686,mediator_w_like,0.9020833333333333,quark_core_like,0.7375,unstable_crossmix_like,0.7217659135726686
SC0019,32,0.25625,0.28984375,0.41510416666666666,0.7375,0.9020833333333333,0.7217659135726686,mediator_w_like,0.9020833333333333,quark_core_like,0.7375,unstable_crossmix_like,0.7217659135726686
SC0020,32,0.25625,0.28984375,0.38697916666666665,0.7375,0.9302083333333334,0.7498909135726687,mediator_w_like,0.9302083333333334,unstable_crossmix_like,0.7498909135726687,quark_core_like,0.7375
SC0021,32,0.25625,0.28984375,0.38697916666666665,0.7375,0.9302083333333334,0.7498909135726687,mediator_w_like,0.9302083333333334,unstable_crossmix_like,0.7498909135726687,quark_core_like,0.7375
SC0022,28,0.031249999999999997,0.05078125,0.4369791666666667,0.6000000000000002,0.2520833333333333,0.6920784135726686,unstable_crossmix_like,0.6920784135726686,quark_core_like,0.6000000000000002,electron_like,0.4369791666666667
SC0023,28,0.031249999999999997,0.05078125,0.3744791666666667,0.6000000000000002,0.3145833333333333,0.7545784135726686,unstable_crossmix_like,0.7545784135726686,quark_core_like,0.6000000000000002,electron_like,0.3744791666666667
SC0024,28,0.031249999999999997,0.05078125,0.4244791666666667,0.6000000000000002,0.2645833333333334,0.7045784135726686,unstable_crossmix_like,0.7045784135726686,quark_core_like,0.6000000000000002,electron_like,0.4244791666666667
SC0025,28,0.031249999999999997,0.05078125,0.3744791666666667,0.6000000000000002,0.3145833333333333,0.7545784135726686,unstable_crossmix_like,0.7545784135726686,quark_core_like,0.6000000000000002,electron_like,0.3744791666666667
SC0026,28,0.046875,0.07421875,0.6098958333333334,0.753125,0.24479166666666669,0.670724246906002,quark_core_like,0.753125,unstable_crossmix_like,0.670724246906002,electron_like,0.6098958333333334
SC0027,28,0.246875,0.27421875,0.4515625,0.753125,0.8531250000000001,0.6790575802393353,mediator_w_like,0.8531250000000001,quark_core_like,0.753125,unstable_crossmix_like,0.6790575802393353
SC0028,28,0.246875,0.27421875,0.42291666666666666,0.753125,0.8817708333333335,0.7077034135726686,mediator_w_like,0.8817708333333335,quark_core_like,0.753125,unstable_crossmix_like,0.7077034135726686
SC0029,28,0.046875,0.07421875,0.5484374999999999,0.753125,0.30625,0.7321825802393352,quark_core_like,0.753125,unstable_crossmix_like,0.7321825802393352,electron_like,0.5484374999999999
SC0030,28,0.046875,0.07421875,0.5484374999999999,0.753125,0.30625,0.7321825802393352,quark_core_like,0.753125,unstable_crossmix_like,0.7321825802393352,electron_like,0.5484374999999999
SC0031,28,0.246875,0.27421875,0.39010416666666664,0.753125,0.9145833333333334,0.7405159135726685,mediator_w_like,0.9145833333333334,quark_core_like,0.753125,unstable_crossmix_like,0.7405159135726685
SC0032,28,0.246875,0.27421875,0.39010416666666664,0.753125,0.9145833333333334,0.7405159135726685,mediator_w_like,0.9145833333333334,quark_core_like,0.753125,unstable_crossmix_like,0.7405159135726685
SC0033,28,0.246875,0.27421875,0.36197916666666663,0.753125,0.9427083333333334,0.7686409135726686,mediator_w_like,0.9427083333333334,unstable_crossmix_like,0.7686409135726686,quark_core_like,0.753125
SC0034,28,0.246875,0.27421875,0.36197916666666663,0.753125,0.9427083333333334,0.7686409135726686,mediator_w_like,0.9427083333333334,unstable_crossmix_like,0.7686409135726686,quark_core_like,0.753125
SC0035,28,0.031249999999999997,0.05078125,0.2807291666666667,0.6000000000000002,0.6583333333333333,0.6983284135726686,unstable_crossmix_like,0.6983284135726686,mediator_w_like,0.6583333333333333,quark_core_like,0.6000000000000002
SC0036,28,0.23125,0.25078125,0.21822916666666667,0.6000000000000002,0.9208333333333334,0.7608284135726686,mediator_w_like,0.9208333333333334,unstable_crossmix_like,0.7608284135726686,quark_core_like,0.6000000000000002
SC0037,28,0.23125,0.25078125,0.26822916666666674,0.6000000000000002,0.8708333333333335,0.7108284135726687,mediator_w_like,0.8708333333333335,unstable_crossmix_like,0.7108284135726687,quark_core_like,0.6000000000000002
SC0038,28,0.23125,0.25078125,0.21822916666666667,0.6000000000000002,0.9208333333333334,0.7608284135726686,mediator_w_like,0.9208333333333334,unstable_crossmix_like,0.7608284135726686,quark_core_like,0.6000000000000002
SC0039,28,0.031249999999999997,0.05078125,0.24635416666666668,0.6000000000000002,0.6927083333333334,0.7327034135726687,unstable_crossmix_like,0.7327034135726687,mediator_w_like,0.6927083333333334,quark_core_like,0.6000000000000002
SC0040,28,0.23125,0.25078125,0.18385416666666668,0.6000000000000002,0.9552083333333334,0.7952034135726687,mediator_w_like,0.9552083333333334,unstable_crossmix_like,0.7952034135726687,quark_core_like,0.6000000000000002
SC0041,28,0.23125,0.25078125,0.23385416666666667,0.6000000000000002,0.9052083333333334,0.7452034135726686,mediator_w_like,0.9052083333333334,unstable_crossmix_like,0.7452034135726686,quark_core_like,0.6000000000000002
SC0042,28,0.23125,0.25078125,0.18385416666666668,0.6000000000000002,0.9552083333333334,0.7952034135726687,mediator_w_like,0.9552083333333334,unstable_crossmix_like,0.7952034135726687,quark_core_like,0.6000000000000002
SC0043,24,0.0375,0.05859375,0.5848958333333333,0.7687500000000002,0.2572916666666667,0.689474246906002,quark_core_like,0.7687500000000002,unstable_crossmix_like,0.689474246906002,electron_like,0.5848958333333333
SC0044,24,0.23749999999999996,0.25859375,0.4265625,0.7687500000000002,0.8656250000000001,0.6978075802393353,mediator_w_like,0.8656250000000001,quark_core_like,0.7687500000000002,unstable_crossmix_like,0.6978075802393353
SC0045,24,0.23749999999999996,0.25859375,0.3979166666666667,0.7687500000000002,0.8942708333333335,0.7264534135726687,mediator_w_like,0.8942708333333335,quark_core_like,0.7687500000000002,unstable_crossmix_like,0.7264534135726687
SC0046,24,0.0375,0.05859375,0.5234375,0.7687500000000002,0.31875,0.7509325802393353,quark_core_like,0.7687500000000002,unstable_crossmix_like,0.7509325802393353,electron_like,0.5234375
SC0047,24,0.0375,0.05859375,0.5234375,0.7687500000000002,0.31875,0.7509325802393353,quark_core_like,0.7687500000000002,unstable_crossmix_like,0.7509325802393353,electron_like,0.5234375
SC0048,24,0.23749999999999996,0.25859375,0.3651041666666666,0.7687500000000002,0.9270833333333334,0.7592659135726686,mediator_w_like,0.9270833333333334,quark_core_like,0.7687500000000002,unstable_crossmix_like,0.7592659135726686
SC0049,24,0.23749999999999996,0.25859375,0.3651041666666666,0.7687500000000002,0.9270833333333334,0.7592659135726686,mediator_w_like,0.9270833333333334,quark_core_like,0.7687500000000002,unstable_crossmix_like,0.7592659135726686
SC0050,24,0.23749999999999996,0.25859375,0.33697916666666666,0.7687500000000002,0.9552083333333335,0.7873909135726688,mediator_w_like,0.9552083333333335,unstable_crossmix_like,0.7873909135726688,quark_core_like,0.7687500000000002
SC0051,24,0.23749999999999996,0.25859375,0.33697916666666666,0.7687500000000002,0.9552083333333335,0.7873909135726688,mediator_w_like,0.9552083333333335,unstable_crossmix_like,0.7873909135726688,quark_core_like,0.7687500000000002
SC0052,16,0.05625,0.08984375,0.6369791666666667,0.9125000000000001,0.23020833333333335,0.6498909135726687,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.6498909135726687,electron_like,0.6369791666666667
SC0053,16,0.05625,0.08984375,0.4786458333333334,0.9125000000000001,0.6385416666666668,0.658224246906002,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.658224246906002,mediator_w_like,0.6385416666666668
SC0054,16,0.05625,0.08984375,0.45052083333333337,0.9125000000000001,0.6666666666666667,0.686349246906002,quark_core_like,0.9125000000000001,unstable_crossmix_like,0.686349246906002,mediator_w_like,0.6666666666666667
SC0055,16,0.05625,0.08984375,0.6640625,0.5625,0.203125,0.6228075802393354,electron_like,0.6640625,unstable_crossmix_like,0.6228075802393354,quark_core_like,0.5625
SC0056,16,0.028125,0.04296875,0.5598958333333333,0.784375,0.2697916666666667,0.7082242469060019,quark_core_like,0.784375,unstable_crossmix_like,0.7082242469060019,electron_like,0.5598958333333333
SC0057,16,0.05625,0.08984375,0.5046875,0.5625,0.6125,0.6321825802393353,unstable_crossmix_like,0.6321825802393353,mediator_w_like,0.6125,quark_core_like,0.5625
SC0058,16,0.228125,0.24296875,0.4015625,0.784375,0.8781250000000002,0.7165575802393352,mediator_w_like,0.8781250000000002,quark_core_like,0.784375,unstable_crossmix_like,0.7165575802393352
SC0059,16,0.05625,0.08984375,0.4765625,0.5625,0.6406250000000001,0.6603075802393353,unstable_crossmix_like,0.6603075802393353,mediator_w_like,0.6406250000000001,quark_core_like,0.5625
SC0060,16,0.228125,0.24296875,0.3729166666666667,0.784375,0.9067708333333335,0.7452034135726686,mediator_w_like,0.9067708333333335,quark_core_like,0.784375,unstable_crossmix_like,0.7452034135726686
SC0061,16,0.028125,0.04296875,0.49843750000000003,0.784375,0.33125000000000004,0.7696825802393352,quark_core_like,0.784375,unstable_crossmix_like,0.7696825802393352,electron_like,0.49843750000000003
SC0062,16,0.028125,0.04296875,0.49843750000000003,0.784375,0.33125000000000004,0.7696825802393352,quark_core_like,0.784375,unstable_crossmix_like,0.7696825802393352,electron_like,0.49843750000000003
SC0063,16,0.228125,0.24296875,0.34010416666666665,0.784375,0.9395833333333334,0.7780159135726685,mediator_w_like,0.9395833333333334,quark_core_like,0.784375,unstable_crossmix_like,0.7780159135726685
SC0064,16,0.228125,0.24296875,0.34010416666666665,0.784375,0.9395833333333334,0.7780159135726685,mediator_w_like,0.9395833333333334,quark_core_like,0.784375,unstable_crossmix_like,0.7780159135726685
SC0065,16,0.228125,0.24296875,0.31197916666666664,0.784375,0.9677083333333335,0.8061409135726686,mediator_w_like,0.9677083333333335,unstable_crossmix_like,0.8061409135726686,quark_core_like,0.784375
SC0066,16,0.228125,0.24296875,0.31197916666666664,0.784375,0.9677083333333335,0.8061409135726686,mediator_w_like,0.9677083333333335,unstable_crossmix_like,0.8061409135726686,quark_core_like,0.784375
SC0067,14,0.046875,0.07421875,0.6119791666666666,0.9281250000000002,0.24270833333333336,0.6686409135726686,quark_core_like,0.9281250000000002,unstable_crossmix_like,0.6686409135726686,electron_like,0.6119791666666666
SC0068,14,0.046875,0.07421875,0.45364583333333336,0.9281250000000002,0.6510416666666667,0.6769742469060019,quark_core_like,0.9281250000000002,unstable_crossmix_like,0.6769742469060019,mediator_w_like,0.6510416666666667
SC0069,14,0.046875,0.07421875,0.4255208333333333,0.9281250000000002,0.6791666666666666,0.7050992469060019,quark_core_like,0.9281250000000002,unstable_crossmix_like,0.7050992469060019,mediator_w_like,0.6791666666666666
SC0070,14,0.046875,0.07421875,0.6390625,0.578125,0.215625,0.6415575802393353,unstable_crossmix_like,0.6415575802393353,electron_like,0.6390625,quark_core_like,0.578125
SC0071,14,0.046875,0.07421875,0.4796875,0.578125,0.625,0.6509325802393354,unstable_crossmix_like,0.6509325802393354,mediator_w_like,0.625,quark_core_like,0.578125
SC0072,14,0.046875,0.07421875,0.4515625,0.578125,0.6531250000000001,0.6790575802393353,unstable_crossmix_like,0.6790575802393353,mediator_w_like,0.6531250000000001,quark_core_like,0.578125
SC0073,12,0.0375,0.05859375,0.5869791666666666,0.9437500000000001,0.25520833333333337,0.6873909135726685,quark_core_like,0.9437500000000001,unstable_crossmix_like,0.6873909135726685,electron_like,0.5869791666666666
SC0074,12,0.0375,0.05859375,0.42864583333333334,0.9437500000000001,0.6635416666666667,0.695724246906002,quark_core_like,0.9437500000000001,unstable_crossmix_like,0.695724246906002,mediator_w_like,0.6635416666666667
SC0075,12,0.0375,0.05859375,0.4005208333333334,0.9437500000000001,0.6916666666666668,0.7238492469060019,quark_core_like,0.9437500000000001,unstable_crossmix_like,0.7238492469060019,mediator_w_like,0.6916666666666668
SC0076,12,0.0375,0.05859375,0.6140625,0.59375,0.22812500000000002,0.6603075802393353,unstable_crossmix_like,0.6603075802393353,electron_like,0.6140625,quark_core_like,0.59375
SC0077,12,0.06562499999999999,0.10546875,0.6598958333333333,0.7218750000000002,0.2197916666666667,0.633224246906002,quark_core_like,0.7218750000000002,electron_like,0.6598958333333333,unstable_crossmix_like,0.633224246906002
SC0078,12,0.0375,0.05859375,0.4546875000000001,0.59375,0.6375,0.6696825802393352,unstable_crossmix_like,0.6696825802393352,mediator_w_like,0.6375,quark_core_like,0.59375
SC0079,12,0.265625,0.30546875,0.5015625,0.7218750000000002,0.8281250000000001,0.6415575802393353,mediator_w_like,0.8281250000000001,quark_core_like,0.7218750000000002,unstable_crossmix_like,0.6415575802393353
SC0080,12,0.0375,0.05859375,0.4265625,0.59375,0.665625,0.6978075802393353,unstable_crossmix_like,0.6978075802393353,mediator_w_like,0.665625,quark_core_like,0.59375
SC0081,12,0.265625,0.30546875,0.4729166666666667,0.7218750000000002,0.8567708333333335,0.6702034135726688,mediator_w_like,0.8567708333333335,quark_core_like,0.7218750000000002,unstable_crossmix_like,0.6702034135726688
SC0082,12,0.06562499999999999,0.10546875,0.5984375,0.7218750000000002,0.28125,0.6946825802393354,quark_core_like,0.7218750000000002,unstable_crossmix_like,0.6946825802393354,electron_like,0.5984375
SC0083,12,0.06562499999999999,0.10546875,0.5984375,0.7218750000000002,0.28125,0.6946825802393354,quark_core_like,0.7218750000000002,unstable_crossmix_like,0.6946825802393354,electron_like,0.5984375
SC0084,12,0.265625,0.30546875,0.4401041666666667,0.7218750000000002,0.8895833333333334,0.7030159135726685,mediator_w_like,0.8895833333333334,quark_core_like,0.7218750000000002,unstable_crossmix_like,0.7030159135726685
SC0085,12,0.265625,0.30546875,0.4401041666666667,0.7218750000000002,0.8895833333333334,0.7030159135726685,mediator_w_like,0.8895833333333334,quark_core_like,0.7218750000000002,unstable_crossmix_like,0.7030159135726685
SC0086,12,0.265625,0.30546875,0.4119791666666666,0.7218750000000002,0.9177083333333335,0.7311409135726686,mediator_w_like,0.9177083333333335,unstable_crossmix_like,0.7311409135726686,quark_core_like,0.7218750000000002
SC0087,12,0.265625,0.30546875,0.4119791666666666,0.7218750000000002,0.9177083333333335,0.7311409135726686,mediator_w_like,0.9177083333333335,unstable_crossmix_like,0.7311409135726686,quark_core_like,0.7218750000000002
SC0088,8,0.028125,0.04296875,0.5619791666666666,0.9593750000000001,0.2677083333333333,0.7061409135726686,quark_core_like,0.9593750000000001,unstable_crossmix_like,0.7061409135726686,electron_like,0.5619791666666666
SC0089,8,0.028125,0.04296875,0.4036458333333333,0.9593750000000001,0.6760416666666668,0.7144742469060019,quark_core_like,0.9593750000000001,unstable_crossmix_like,0.7144742469060019,mediator_w_like,0.6760416666666668
SC0090,8,0.028125,0.04296875,0.37552083333333336,0.9593750000000001,0.7041666666666667,0.7425992469060019,quark_core_like,0.9593750000000001,unstable_crossmix_like,0.7425992469060019,mediator_w_like,0.7041666666666667
SC0091,8,0.04375,0.3703125,0.3697916666666667,0.38125,0.23333333333333334,0.6383732747226812,unstable_crossmix_like,0.6383732747226812,quark_core_like,0.38125,neutrino_like,0.3703125
SC0092,8,0.04375,0.3703125,0.3083333333333333,0.38125,0.2947916666666667,0.6998316080560145,unstable_crossmix_like,0.6998316080560145,quark_core_like,0.38125,neutrino_like,0.3703125
SC0093,8,0.04375,0.3703125,0.3572916666666667,0.38125,0.24583333333333335,0.6508732747226812,unstable_crossmix_like,0.6508732747226812,quark_core_like,0.38125,neutrino_like,0.3703125
