w3,p_mem,R3,r_mean,r_std,spectral_entropy,GLS_var,A1,A2,phase_class,seed_count
4.0,0.0,0.8896911945618382,0.015489577026782867,0.0077144677032714645,0.8974826134705146,2.800624897298087e-05,-0.0006452300021030343,0.0005514069060174136,D,12
8.0,0.0,1.7799386237819856,0.01581891469769744,0.008029564635338396,0.9033680485448136,2.6615362428560784e-05,-0.001319186474696079,0.0012295549952832609,D,12
12.0,0.0,2.6646308858689314,0.015300280383275766,0.00793672543175747,0.895100803776237,2.7845705122368577e-05,0.0028527786515588857,-0.003013474041650399,D,12
16.0,0.0,3.5578926135567284,0.015689169472902935,0.008195987695724891,0.894772491963451,2.627810303562099e-05,0.001822650064178517,-0.0002788612197798964,D,12
24.0,0.0,5.336514037411912,0.015312188715148606,0.007971726072230565,0.9054660392256859,3.38685902332223e-05,-0.0007865872033927299,-0.001148227566010447,D,12
32.0,0.0,7.120145726389929,0.015641156325586,0.007924665660761795,0.895953603945391,6.538963885716532e-05,0.000890506225959921,0.003951397822195915,D,12
4.0,0.125,0.7739900279323546,0.015516663460326914,0.008237080141502597,0.9004730390199468,2.864186417031304e-05,-0.0003373470669315059,-0.0015698231605381127,D,12
8.0,0.125,1.4363385119585939,0.01581901497915879,0.008122818006812811,0.893996832488003,2.5567968984224965e-05,0.001108558048667193,-0.0006671940130464791,D,12
12.0,0.125,2.04028835064562,0.015889786341603335,0.00825971543445062,0.8942373434494519,2.7538923367609905e-05,-0.00046728922879279137,0.0004892876699297237,D,12
16.0,0.125,2.5897876486205096,0.016077095267494377,0.008362786316034598,0.9025637247244855,2.5145179735224903e-05,-0.002006682767400968,-0.002010389041165801,D,12
24.0,0.125,3.574788036892843,0.015875991593868426,0.008065343367543217,0.9010647116563967,3.4081037099930185e-05,6.287590916483239e-05,-0.00030705853461954446,D,12
32.0,0.125,4.414847632343232,0.015411245702915377,0.008186794228277434,0.9033127970200994,7.579752515682789e-05,-0.0003625034633912585,0.0011261133704413286,D,12
4.0,0.25,0.6714264815205606,0.01566155417123076,0.008023193592964993,0.8901226109119841,2.861172001301872e-05,0.0008338556190694149,-0.00039253050779398485,D,12
8.0,0.25,1.1706380555739782,0.01624611041045837,0.008050282387689902,0.8957696423546978,2.7894384229029355e-05,0.00016583689492758957,-0.002096740614420492,D,12
12.0,0.25,1.5983559331715396,0.015815364477515647,0.008309338194688482,0.9083797956784765,2.485449899351619e-05,0.0009710256558281225,-0.002249416615051087,D,12
16.0,0.25,1.9745199113064935,0.01607567705508715,0.008392019297869117,0.9015352954283425,2.934705598265357e-05,0.002720760844959321,-0.0009651028174553353,D,12
24.0,0.25,2.603787648216335,0.015936367031684044,0.008232582758615985,0.8998387097018413,3.1343866612208536e-05,-0.0002895237969246236,-0.0015096444968665118,D,12
32.0,0.25,3.1182906090424267,0.016105552139442973,0.008244333785075103,0.9014198251982632,8.032138413691548e-05,0.004316741216360394,-0.005003922628220239,D,12
4.0,0.375,0.580516157163605,0.015582082750405561,0.008169787889725836,0.9007266402672008,2.6880745055343474e-05,0.0014235444981362984,-0.0022878727796362226,D,12
8.0,0.375,0.9560169904449886,0.015912984000360297,0.008306524156069715,0.8955912792369084,2.7455572882661435e-05,0.003066421621752274,-0.0008149620536146922,D,12
12.0,0.375,1.2653897518522121,0.01596825563323366,0.008174855517401419,0.8975204648894453,2.618672515719939e-05,-0.002486691824101744,-0.0001293605339293757,D,12
16.0,0.375,1.5351842696761409,0.016287712479307062,0.008228269418715283,0.899282025103764,2.882043407892001e-05,-0.0024675889909751884,-0.0010159526291077343,D,12
24.0,0.375,1.971051075492653,0.016423120525441533,0.008666132084808055,0.9041204530275478,4.287676683620876e-05,0.0002978446536560737,0.0025453756280767723,D,12
32.0,0.375,2.316096343704507,0.01633614477153453,0.008597806941479658,0.8982325074201488,7.938375548201856e-05,0.0007464156390700215,-0.003355909795732821,D,12
4.0,0.5,0.4970303082846723,0.0160746863335699,0.008394859570883515,0.8952157116966619,2.6795461298658143e-05,0.001096984457440214,-0.0008290329256364906,D,12
8.0,0.5,0.7749334506385542,0.016101113635568095,0.008154482439665482,0.9018923258674495,2.5007755555630416e-05,0.0019126598353081984,-8.563940909565549e-05,D,12
12.0,0.5,1.0008663435307035,0.016533933741790966,0.008323337703776376,0.8983836843812399,2.7300829074608973e-05,-0.002133370177196224,0.001341564290452247,D,12
16.0,0.5,1.1950074360954124,0.016299785668655396,0.0083929570714185,0.908403603576602,2.9854859100680886e-05,-0.0003544375140631866,0.00267214184395297,D,12
24.0,0.5,1.5128371708403698,0.01657350887664607,0.008863931126345726,0.8971340322171542,4.5318174056488144e-05,-0.0012413777369042003,-0.000705041443145989,D,12
32.0,0.5,1.7667466519968347,0.016738647704932302,0.008509370522169499,0.898295960663356,9.536331674256321e-05,-0.0019849982195250643,0.00048998019664534,D,12
4.0,0.625,0.42158883529146823,0.016253206166420057,0.008409243728182357,0.8981806138844357,2.777173812742703e-05,-0.0034764037291086726,0.0012815277841392717,D,12
8.0,0.625,0.6163442151390286,0.016200509158723342,0.00851679098358868,0.88966716858565,2.902294075553808e-05,-9.456230197222883e-05,-0.0001852336166022062,D,12
12.0,0.625,0.7765546492135077,0.016593756667412213,0.00847634124083987,0.9019005692924899,2.6809011838084055e-05,0.0007280025824598638,0.0009208038819438687,D,12
16.0,0.625,0.9170986071119382,0.016131130655632434,0.008501562555239525,0.8978299043942819,3.0252449344945646e-05,0.00217977391205186,-0.0018656027872809326,D,12
24.0,0.625,1.1488731870589033,0.01722977740183835,0.008659090897398405,0.893757473024574,5.4103797135144785e-05,-0.004295171409597168,0.0010360465566626028,D,12
32.0,0.625,1.3361427072437229,0.017329192678417284,0.008751995395899553,0.9020796232890285,0.00013156648511092244,-0.0025321948616319257,-0.0012455222114321424,D,12
4.0,0.75,0.35171035716708093,0.016185886721235967,0.008313297015389697,0.8939561875416083,2.8621136889624655e-05,-0.0007604978377693979,0.00017829403196521106,D,12
8.0,0.75,0.4761341768736254,0.016305593232799964,0.008437756174444616,0.8932147415025798,2.5583385060159596e-05,-0.0013814645548189156,0.001830233011309231,D,12
12.0,0.75,0.5820194099025672,0.01624817799252432,0.008280172537328753,0.8951852727451057,2.7114088621846923e-05,-0.0005346750358418681,-0.0006120836913161624,D,12
16.0,0.75,0.6743285537200712,0.016507094182090298,0.008586821212078832,0.903038596555791,2.977728241370371e-05,0.0008673336245990226,-0.0014235041542231374,D,12
24.0,0.75,0.8358292189324271,0.01670113008949348,0.00895282660902518,0.900078978400689,5.7561586607725346e-05,0.0023914261353077033,-0.0018159170934506617,D,12
32.0,0.75,0.9702287291948372,0.017148146074478374,0.008975026971481248,0.9045955635085012,0.00017586900158077668,-0.0019291752957050923,0.0007221446172724775,D,12
4.0,0.875,0.2866665718493788,0.01627748860071626,0.008453036210893305,0.908412553796778,2.6928901505898558e-05,-0.0019010491404012368,-0.0005729687125074356,D,12
8.0,0.875,0.3480056432718024,0.01658179377292494,0.008675848599398489,0.8947534463147607,2.7270073993564126e-05,-0.00034106001547499023,-0.000997361999783264,D,12
12.0,0.875,0.40148325635157894,0.016063840718336646,0.008486967484156501,0.8992714054253282,2.6410594059833236e-05,-0.0017095528457768993,0.0020604820526725015,D,12
16.0,0.875,0.45106011964794107,0.01646320105406146,0.008564198648925525,0.9000131149926521,3.30763706518391e-05,-0.0010467046413581242,0.002745459551173371,D,12
24.0,0.875,0.5396033993036723,0.016720728518049188,0.008693834735531418,0.9041857728433138,8.194874126619923e-05,-0.0005194449092133217,-0.0022887142958770814,D,12
32.0,0.875,0.6189199962089276,0.017335066065888007,0.00890900854985659,0.9008148194276308,0.00026293649617497,0.0034757051186306617,-0.0010646155006005633,D,12
4.0,1.0,0.22408931747252556,0.01573545724858781,0.00822279311479876,0.9056815146606355,2.797435880279798e-05,-0.000565039227360007,-0.0005809250216827917,D,12
8.0,1.0,0.2267332254582911,0.016159818433255337,0.008361865363645556,0.8971936362229296,2.877403957457077e-05,0.0005137413886836965,-0.000866585255918461,D,12
12.0,1.0,0.2291839941154846,0.01608953234174283,0.008160321162181627,0.9004770154128915,3.019315068068478e-05,0.0021607300181147944,-0.0003572419727683616,D,12
16.0,1.0,0.2300156205380395,0.016295957090358172,0.008474544722723432,0.900240601593997,3.9717032331681805e-05,-0.0022250950152641123,0.0016681602030916391,D,12
24.0,1.0,0.23408698559956945,0.016316759170159647,0.008274012289381518,0.9004194413811833,0.00011632700446270078,0.0017488659402473746,-0.0005804362494631505,D,12
32.0,1.0,0.2397027471831277,0.015991652557822453,0.008271451773743166,0.9010539330080656,0.0003332595556795057,-5.7040916627629223e-05,-0.0004999045038576972,D,12
