kernel_profile,convention_id,stencil_id,seed_id,system_id,generation_offset_signature,window_id,T_cycle,R_hat,Omega_hat,S_stab,V_hat,H_phase_summary,pair_id,Delta_max_pair,pass_flag_lt_1pct
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,7.3892469316647595,0.5832060718824054,0.0,0.013114247826936182,"0:49098,6:43108,9:24441",P_baseline_e_uud_vs_mu_ccs,0.7450156448378502,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,7.406915521557717,0.6012568106809943,0.0,0.008431479516799017,"0:53111,6:44248,9:21475",P_baseline_e_uud_vs_mu_ccs,0.7523390277346718,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,7.411758636052237,0.6004493927217175,0.0,0.010466436573867073,"0:54961,6:43690,9:20136",P_baseline_e_uud_vs_mu_ccs,0.751173667616114,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,10.138055013519917,0.29795613438632795,0.0,0.011957651876607949,"0:92908,6:40316,8:34060",P_baseline_e_uud_vs_mu_ccs,0.7901480159762646,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,10.342978613158301,0.39435205136591756,0.0,0.0015008942998755539,"0:67802,6:54081,3:35163",P_baseline_e_uud_vs_mu_ccs,0.8543218613525748,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,9.921476256166976,0.3243827995395645,0.0,0.012040465509185949,"0:78451,6:37904,8:30137",P_baseline_e_uud_vs_mu_ccs,0.7703861485170187,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,10.371466366422863,0.30157268022182043,0.0,0.012542004622810066,"0:69355,6:50237,8:31312",P_baseline_e_uud_vs_mu_ccs,0.6789900820165982,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,10.375468377107788,0.34994067731977035,0.0,0.012962494959808278,"0:73007,6:57309,3:29566",P_baseline_e_uud_vs_mu_ccs,0.7215856738924354,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,0,S_B_mu_ccs_g1,g1,window_pre_mix,0,10.333501115983154,0.3687187073609089,0.0,0.011849984688246442,"0:80921,6:59213,9:27147",P_baseline_e_uud_vs_mu_ccs,0.7338022679527646,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,1,S_B_mu_ccs_g1,g1,window_pre_mix,0,7.419110832050365,0.2883666249067879,0.0,0.013166877001304084,"0:47414,6:21027,8:16702",P_baseline_e_uud_vs_mu_ccs,0.7791289586314954,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,1,S_B_mu_ccs_g1,g1,window_pre_mix,0,7.423135740486657,0.3151663840183207,0.0,0.010053018352234135,"0:44481,6:23181,8:15985",P_baseline_e_uud_vs_mu_ccs,0.7981351042426829,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,1,S_B_mu_ccs_g1,g1,window_pre_mix,0,7.443708098937131,0.30286748022856685,0.0,0.010774624389321245,"0:51560,6:21475,4:14157",P_baseline_e_uud_vs_mu_ccs,0.7885998110406721,False
cog_v3_octavian240_multiplicative_v1,v3_octavian240_perm_0-1-2-3-4-7-5-6_sign_all_plus,cube26,1,S_B_mu_ccs_g1,g1,window_pre_mix,0,7.3892469316647595,0.5832060718824054,0.0,0.013114247826936182,"0:49098,6:43108,9:24441",P_baseline_e_uud_vs_mu_ccs,0.7450156448378502,False
