case_id,edge_distance,steps,phase_offset,preconditioning_ticks,overlap_start_tick,stage,stage_tick,global_tick,overlap_started,overlap_node_count,u1_inclusive_load,weak_inclusive_load,weak_exclusive_load,ew_load,exclusive_u1_load,sin2_theta_w_raw,sin2_theta_w_exclusive_u1,sin2_theta_w_from_couplings,gap_raw_vs_mz_target,gap_exclusive_vs_mz_target,gap_exclusive_vs_uv_quarter
weinberg_case_00,4,4,0,1,2,precondition,1,1,False,0,0,0,0,0,0,0.0,0.0,0.0,-0.23122,-0.23122,-0.25
weinberg_case_00,4,4,0,1,2,measure,1,2,True,1,8,4,0,8,4,1.0,0.5,1.0,0.76878,0.26878,0.25
weinberg_case_00,4,4,0,1,2,measure,2,3,True,3,4294967296,4303355904,2155872256,6450839552,2147483648,0.6657997399219766,0.3328998699609883,0.6657997399219766,0.4345797399219766,0.1016798699609883,0.0828998699609883
weinberg_case_00,4,4,0,1,2,measure,3,4,True,5,5575526584595725153114806757034770309316608,5575696727077259836980245351471110275727360,2787933434779397260422841972953725121069056,8363460019375122413537648729988495430385664,2787763292297862576557403378517385154658304,0.6666531042988476,0.3333265521494238,0.6666531042988476,0.43543310429884763,0.1021065521494238,0.0833265521494238
weinberg_case_00,4,4,0,1,2,measure,4,5,True,7,54925085185009849018404993405161079402211881517101967652251378374922754931521971973965637748302495756015831232150940007346247076166082058203383425855880429568,54921733233028924243405257895027218739294908258799693852978279970137254068994266273090847162538014183210440470171973299299094341006826795548736461586282053632,27459190640523999734202761192446679038188967500248710026852590782675876603233280286108028288386766305202524854096503295625970802923785766447044748658341838848,82384275825533848752607754597607758440400849017350677679103969157598631534755252260073666036689262061218356086247443302972217879089867824650428174514222268416,27462542592504924509202496702580539701105940758550983826125689187461377465760985986982818874151247878007915616075470003673123538083041029101691712927940214784,0.6666937911953653,0.33334689559768266,0.6666937911953653,0.43547379119536533,0.10212689559768265,0.08334689559768266
