case_id,edge_distance,steps,phase_offset,preconditioning_ticks,overlap_start_tick,stage,stage_tick,global_tick,overlap_started,overlap_node_count,phase_jump_sum,photon_coupling_rate
alpha_case_05,6,16,1,0,3,measure,10,10,True,15,0,0.0
alpha_case_05,6,16,1,0,3,measure,11,11,True,17,4,0.029411764705882353
alpha_case_05,6,16,1,0,3,measure,12,12,True,19,8,0.05263157894736842
alpha_case_05,6,16,1,0,3,measure,13,13,True,21,8,0.047619047619047616
alpha_case_05,6,16,1,0,3,measure,14,14,True,23,16,0.08695652173913043
alpha_case_05,6,16,1,0,3,measure,15,15,True,25,44,0.22
alpha_case_05,6,16,1,0,3,measure,16,16,True,27,48,0.2222222222222222
alpha_case_06,6,18,2,0,3,measure,1,1,False,0,0,0.0
alpha_case_06,6,18,2,0,3,measure,2,2,False,0,0,0.0
alpha_case_06,6,18,2,0,3,measure,3,3,True,1,0,0.0
alpha_case_06,6,18,2,0,3,measure,4,4,True,3,0,0.0
alpha_case_06,6,18,2,0,3,measure,5,5,True,5,0,0.0
alpha_case_06,6,18,2,0,3,measure,6,6,True,7,0,0.0
alpha_case_06,6,18,2,0,3,measure,7,7,True,9,0,0.0
alpha_case_06,6,18,2,0,3,measure,8,8,True,11,0,0.0
alpha_case_06,6,18,2,0,3,measure,9,9,True,13,0,0.0
alpha_case_06,6,18,2,0,3,measure,10,10,True,15,0,0.0
alpha_case_06,6,18,2,0,3,measure,11,11,True,17,0,0.0
alpha_case_06,6,18,2,0,3,measure,12,12,True,19,0,0.0
alpha_case_06,6,18,2,0,3,measure,13,13,True,21,8,0.047619047619047616
alpha_case_06,6,18,2,0,3,measure,14,14,True,23,8,0.043478260869565216
alpha_case_06,6,18,2,0,3,measure,15,15,True,25,24,0.12
alpha_case_06,6,18,2,0,3,measure,16,16,True,27,24,0.1111111111111111
alpha_case_06,6,18,2,0,3,measure,17,17,True,29,12,0.05172413793103448
alpha_case_06,6,18,2,0,3,measure,18,18,True,31,16,0.06451612903225806
alpha_case_07,6,20,3,0,3,measure,1,1,False,0,0,0.0
alpha_case_07,6,20,3,0,3,measure,2,2,False,0,0,0.0
alpha_case_07,6,20,3,0,3,measure,3,3,True,1,4,0.5
alpha_case_07,6,20,3,0,3,measure,4,4,True,3,4,0.16666666666666666
alpha_case_07,6,20,3,0,3,measure,5,5,True,5,0,0.0
alpha_case_07,6,20,3,0,3,measure,6,6,True,7,0,0.0
alpha_case_07,6,20,3,0,3,measure,7,7,True,9,8,0.1111111111111111
alpha_case_07,6,20,3,0,3,measure,8,8,True,11,8,0.09090909090909091
alpha_case_07,6,20,3,0,3,measure,9,9,True,13,0,0.0
alpha_case_07,6,20,3,0,3,measure,10,10,True,15,0,0.0
alpha_case_07,6,20,3,0,3,measure,11,11,True,17,4,0.029411764705882353
alpha_case_07,6,20,3,0,3,measure,12,12,True,19,4,0.02631578947368421
alpha_case_07,6,20,3,0,3,measure,13,13,True,21,8,0.047619047619047616
alpha_case_07,6,20,3,0,3,measure,14,14,True,23,12,0.06521739130434782
alpha_case_07,6,20,3,0,3,measure,15,15,True,25,24,0.12
alpha_case_07,6,20,3,0,3,measure,16,16,True,27,36,0.16666666666666666
alpha_case_07,6,20,3,0,3,measure,17,17,True,29,12,0.05172413793103448
alpha_case_07,6,20,3,0,3,measure,18,18,True,31,16,0.06451612903225806
alpha_case_07,6,20,3,0,3,measure,19,19,True,33,28,0.10606060606060606
alpha_case_07,6,20,3,0,3,measure,20,20,True,35,28,0.1
alpha_case_08,8,16,0,0,4,measure,1,1,False,0,0,0.0
alpha_case_08,8,16,0,0,4,measure,2,2,False,0,0,0.0
alpha_case_08,8,16,0,0,4,measure,3,3,False,0,0,0.0
alpha_case_08,8,16,0,0,4,measure,4,4,True,1,0,0.0
alpha_case_08,8,16,0,0,4,measure,5,5,True,3,0,0.0
alpha_case_08,8,16,0,0,4,measure,6,6,True,5,0,0.0
alpha_case_08,8,16,0,0,4,measure,7,7,True,7,0,0.0
alpha_case_08,8,16,0,0,4,measure,8,8,True,9,0,0.0
alpha_case_08,8,16,0,0,4,measure,9,9,True,11,0,0.0
alpha_case_08,8,16,0,0,4,measure,10,10,True,13,0,0.0
alpha_case_08,8,16,0,0,4,measure,11,11,True,15,0,0.0
alpha_case_08,8,16,0,0,4,measure,12,12,True,17,0,0.0
alpha_case_08,8,16,0,0,4,measure,13,13,True,19,4,0.02631578947368421
alpha_case_08,8,16,0,0,4,measure,14,14,True,21,4,0.023809523809523808
alpha_case_08,8,16,0,0,4,measure,15,15,True,23,8,0.043478260869565216
alpha_case_08,8,16,0,0,4,measure,16,16,True,25,8,0.04
alpha_case_09,8,18,1,0,4,measure,1,1,False,0,0,0.0
alpha_case_09,8,18,1,0,4,measure,2,2,False,0,0,0.0
alpha_case_09,8,18,1,0,4,measure,3,3,False,0,0,0.0
alpha_case_09,8,18,1,0,4,measure,4,4,True,1,0,0.0
alpha_case_09,8,18,1,0,4,measure,5,5,True,3,4,0.16666666666666666
alpha_case_09,8,18,1,0,4,measure,6,6,True,5,8,0.2
alpha_case_09,8,18,1,0,4,measure,7,7,True,7,12,0.21428571428571427
alpha_case_09,8,18,1,0,4,measure,8,8,True,9,8,0.1111111111111111
alpha_case_09,8,18,1,0,4,measure,9,9,True,11,0,0.0
alpha_case_09,8,18,1,0,4,measure,10,10,True,13,0,0.0
alpha_case_09,8,18,1,0,4,measure,11,11,True,15,0,0.0
alpha_case_09,8,18,1,0,4,measure,12,12,True,17,12,0.08823529411764706
alpha_case_09,8,18,1,0,4,measure,13,13,True,19,24,0.15789473684210525
alpha_case_09,8,18,1,0,4,measure,14,14,True,21,24,0.14285714285714285
alpha_case_09,8,18,1,0,4,measure,15,15,True,23,40,0.21739130434782608
alpha_case_09,8,18,1,0,4,measure,16,16,True,25,40,0.2
alpha_case_09,8,18,1,0,4,measure,17,17,True,27,12,0.05555555555555555
alpha_case_09,8,18,1,0,4,measure,18,18,True,29,16,0.06896551724137931
alpha_case_10,8,20,2,0,4,measure,1,1,False,0,0,0.0
alpha_case_10,8,20,2,0,4,measure,2,2,False,0,0,0.0
alpha_case_10,8,20,2,0,4,measure,3,3,False,0,0,0.0
alpha_case_10,8,20,2,0,4,measure,4,4,True,1,0,0.0
alpha_case_10,8,20,2,0,4,measure,5,5,True,3,0,0.0
alpha_case_10,8,20,2,0,4,measure,6,6,True,5,0,0.0
alpha_case_10,8,20,2,0,4,measure,7,7,True,7,0,0.0
alpha_case_10,8,20,2,0,4,measure,8,8,True,9,0,0.0
alpha_case_10,8,20,2,0,4,measure,9,9,True,11,0,0.0
alpha_case_10,8,20,2,0,4,measure,10,10,True,13,0,0.0
alpha_case_10,8,20,2,0,4,measure,11,11,True,15,0,0.0
alpha_case_10,8,20,2,0,4,measure,12,12,True,17,0,0.0
alpha_case_10,8,20,2,0,4,measure,13,13,True,19,0,0.0
alpha_case_10,8,20,2,0,4,measure,14,14,True,21,0,0.0
alpha_case_10,8,20,2,0,4,measure,15,15,True,23,8,0.043478260869565216
alpha_case_10,8,20,2,0,4,measure,16,16,True,25,12,0.06
alpha_case_10,8,20,2,0,4,measure,17,17,True,27,12,0.05555555555555555
alpha_case_10,8,20,2,0,4,measure,18,18,True,29,16,0.06896551724137931
alpha_case_10,8,20,2,0,4,measure,19,19,True,31,20,0.08064516129032258
alpha_case_10,8,20,2,0,4,measure,20,20,True,33,20,0.07575757575757576
alpha_case_11,8,22,3,0,4,measure,1,1,False,0,0,0.0
alpha_case_11,8,22,3,0,4,measure,2,2,False,0,0,0.0
alpha_case_11,8,22,3,0,4,measure,3,3,False,0,0,0.0
alpha_case_11,8,22,3,0,4,measure,4,4,True,1,4,0.5
alpha_case_11,8,22,3,0,4,measure,5,5,True,3,8,0.3333333333333333
alpha_case_11,8,22,3,0,4,measure,6,6,True,5,8,0.2
alpha_case_11,8,22,3,0,4,measure,7,7,True,7,12,0.21428571428571427
alpha_case_11,8,22,3,0,4,measure,8,8,True,9,8,0.1111111111111111
alpha_case_11,8,22,3,0,4,measure,9,9,True,11,0,0.0
alpha_case_11,8,22,3,0,4,measure,10,10,True,13,0,0.0
alpha_case_11,8,22,3,0,4,measure,11,11,True,15,0,0.0
alpha_case_11,8,22,3,0,4,measure,12,12,True,17,0,0.0
alpha_case_11,8,22,3,0,4,measure,13,13,True,19,12,0.07894736842105263
alpha_case_11,8,22,3,0,4,measure,14,14,True,21,24,0.14285714285714285
alpha_case_11,8,22,3,0,4,measure,15,15,True,23,36,0.1956521739130435
alpha_case_11,8,22,3,0,4,measure,16,16,True,25,24,0.12
alpha_case_11,8,22,3,0,4,measure,17,17,True,27,12,0.05555555555555555
alpha_case_11,8,22,3,0,4,measure,18,18,True,29,12,0.05172413793103448
alpha_case_11,8,22,3,0,4,measure,19,19,True,31,20,0.08064516129032258
alpha_case_11,8,22,3,0,4,measure,20,20,True,33,16,0.06060606060606061
alpha_case_11,8,22,3,0,4,measure,21,21,True,35,16,0.05714285714285714
alpha_case_11,8,22,3,0,4,measure,22,22,True,37,56,0.1891891891891892
alpha_case_12,10,18,0,0,5,measure,1,1,False,0,0,0.0
alpha_case_12,10,18,0,0,5,measure,2,2,False,0,0,0.0
alpha_case_12,10,18,0,0,5,measure,3,3,False,0,0,0.0
alpha_case_12,10,18,0,0,5,measure,4,4,False,0,0,0.0
alpha_case_12,10,18,0,0,5,measure,5,5,True,1,0,0.0
alpha_case_12,10,18,0,0,5,measure,6,6,True,3,0,0.0
alpha_case_12,10,18,0,0,5,measure,7,7,True,5,0,0.0
alpha_case_12,10,18,0,0,5,measure,8,8,True,7,0,0.0
alpha_case_12,10,18,0,0,5,measure,9,9,True,9,0,0.0
alpha_case_12,10,18,0,0,5,measure,10,10,True,11,0,0.0
alpha_case_12,10,18,0,0,5,measure,11,11,True,13,0,0.0
alpha_case_12,10,18,0,0,5,measure,12,12,True,15,0,0.0
alpha_case_12,10,18,0,0,5,measure,13,13,True,17,0,0.0
alpha_case_12,10,18,0,0,5,measure,14,14,True,19,0,0.0
alpha_case_12,10,18,0,0,5,measure,15,15,True,21,8,0.047619047619047616
alpha_case_12,10,18,0,0,5,measure,16,16,True,23,12,0.06521739130434782
alpha_case_12,10,18,0,0,5,measure,17,17,True,25,12,0.06
alpha_case_12,10,18,0,0,5,measure,18,18,True,27,16,0.07407407407407407
alpha_case_13,10,20,1,0,5,measure,1,1,False,0,0,0.0
alpha_case_13,10,20,1,0,5,measure,2,2,False,0,0,0.0
alpha_case_13,10,20,1,0,5,measure,3,3,False,0,0,0.0
alpha_case_13,10,20,1,0,5,measure,4,4,False,0,0,0.0
alpha_case_13,10,20,1,0,5,measure,5,5,True,1,0,0.0
alpha_case_13,10,20,1,0,5,measure,6,6,True,3,0,0.0
alpha_case_13,10,20,1,0,5,measure,7,7,True,5,4,0.1
alpha_case_13,10,20,1,0,5,measure,8,8,True,7,4,0.07142857142857142
alpha_case_13,10,20,1,0,5,measure,9,9,True,9,0,0.0
alpha_case_13,10,20,1,0,5,measure,10,10,True,11,0,0.0
alpha_case_13,10,20,1,0,5,measure,11,11,True,13,4,0.038461538461538464
alpha_case_13,10,20,1,0,5,measure,12,12,True,15,4,0.03333333333333333
alpha_case_13,10,20,1,0,5,measure,13,13,True,17,4,0.029411764705882353
alpha_case_13,10,20,1,0,5,measure,14,14,True,19,4,0.02631578947368421
alpha_case_13,10,20,1,0,5,measure,15,15,True,21,20,0.11904761904761904
alpha_case_13,10,20,1,0,5,measure,16,16,True,23,28,0.15217391304347827
alpha_case_13,10,20,1,0,5,measure,17,17,True,25,12,0.06
alpha_case_13,10,20,1,0,5,measure,18,18,True,27,12,0.05555555555555555
alpha_case_13,10,20,1,0,5,measure,19,19,True,29,20,0.08620689655172414
alpha_case_13,10,20,1,0,5,measure,20,20,True,31,20,0.08064516129032258
alpha_case_14,10,22,2,0,5,measure,1,1,False,0,0,0.0
alpha_case_14,10,22,2,0,5,measure,2,2,False,0,0,0.0
alpha_case_14,10,22,2,0,5,measure,3,3,False,0,0,0.0
alpha_case_14,10,22,2,0,5,measure,4,4,False,0,0,0.0
alpha_case_14,10,22,2,0,5,measure,5,5,True,1,0,0.0
alpha_case_14,10,22,2,0,5,measure,6,6,True,3,0,0.0
alpha_case_14,10,22,2,0,5,measure,7,7,True,5,0,0.0
alpha_case_14,10,22,2,0,5,measure,8,8,True,7,0,0.0
alpha_case_14,10,22,2,0,5,measure,9,9,True,9,0,0.0
alpha_case_14,10,22,2,0,5,measure,10,10,True,11,0,0.0
alpha_case_14,10,22,2,0,5,measure,11,11,True,13,0,0.0
alpha_case_14,10,22,2,0,5,measure,12,12,True,15,0,0.0
alpha_case_14,10,22,2,0,5,measure,13,13,True,17,0,0.0
alpha_case_14,10,22,2,0,5,measure,14,14,True,19,0,0.0
alpha_case_14,10,22,2,0,5,measure,15,15,True,21,0,0.0
alpha_case_14,10,22,2,0,5,measure,16,16,True,23,0,0.0
alpha_case_14,10,22,2,0,5,measure,17,17,True,25,0,0.0
alpha_case_14,10,22,2,0,5,measure,18,18,True,27,0,0.0
alpha_case_14,10,22,2,0,5,measure,19,19,True,29,16,0.06896551724137931
alpha_case_14,10,22,2,0,5,measure,20,20,True,31,16,0.06451612903225806
alpha_case_14,10,22,2,0,5,measure,21,21,True,33,4,0.015151515151515152
alpha_case_14,10,22,2,0,5,measure,22,22,True,35,8,0.02857142857142857
alpha_case_15,10,24,3,0,5,measure,1,1,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,2,2,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,3,3,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,4,4,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,5,5,True,1,4,0.5
alpha_case_15,10,24,3,0,5,measure,6,6,True,3,4,0.16666666666666666
alpha_case_15,10,24,3,0,5,measure,7,7,True,5,8,0.2
alpha_case_15,10,24,3,0,5,measure,8,8,True,7,8,0.14285714285714285
alpha_case_15,10,24,3,0,5,measure,9,9,True,9,0,0.0
